uuid,adm4_pcode,date,freq,rwi_max,rwi_mean,rwi_median,rwi_min,rwi_std
TMRWI00004D,PH063022051,2016-01-01,Y,0.6522318308116156,0.6223861416921456,0.6251764797023172,0.5836110612734193,0.0236262216417498
TMRWI00004E,PH063022072,2016-01-01,Y,0.6017661991654862,0.5672206105546381,0.5672984440741888,0.517995320261599,0.024683952004384
TMRWI000052,PH063022071,2016-01-01,Y,0.6414791902588567,0.6350700874933598,0.6402532182494873,0.6234778539717355,0.0100578655964793
TMRWI000054,PH063022070,2016-01-01,Y,0.5950802450611011,0.5879983365908239,0.5879983365908239,0.5809164281205468,0.0100153310061509
TMRWI000058,PH063022069,2016-01-01,Y,0.6115207691422859,0.6115207691422859,0.6115207691422859,0.6115207691422859,
TMRWI00005A,PH063022068,2016-01-01,Y,0.6292490366217653,0.5819506489156097,0.5835289063166895,0.5554820123398043,0.0218628493157842
TMRWI00005F,PH063022073,2016-01-01,Y,0.668074870725647,0.6026875663387865,0.6022050717187704,0.5382652511919584,0.060923756056723
TMRWI000062,PH063022078,2016-01-01,Y,0.5933144298794608,0.564809108254008,0.564809108254008,0.5363037866285552,0.0403126124425224
TMRWI000066,PH063022077,2016-01-01,Y,0.6649737863339221,0.6358819692994995,0.6403785662581089,0.6022935553064674,0.0315811237699025
TMRWI000068,PH063022076,2016-01-01,Y,0.6022935553064674,0.5883886184080878,0.5883886184080878,0.5744836815097081,0.0196645503456306
TMRWI00006C,PH063022075,2016-01-01,Y,0.6115207691422859,0.6115207691422859,0.6115207691422859,0.6115207691422859,
TMRWI00006E,PH063022074,2016-01-01,Y,0.6115207691422859,0.6115207691422859,0.6115207691422859,0.6115207691422859,
TMRWI000071,PH063022067,2016-01-01,Y,0.6524336270992704,0.5963806499901412,0.601931870516704,0.5029114769875602,0.0462151592189672
TMRWI000073,PH063022065,2016-01-01,Y,0.6723948255250356,0.6571141112744638,0.6572912146569816,0.6414791902588567,0.0126879770072499
TMRWI000075,PH063022056,2016-01-01,Y,0.5836110612734193,0.5551001451466698,0.5453855875380349,0.5363037866285552,0.0251052590253469
TMRWI000077,PH063022055,2016-01-01,Y,0.6234778539717355,0.6174993115570107,0.6174993115570107,0.6115207691422859,0.0084549357661266
TMRWI00007B,PH063022054,2016-01-01,Y,0.532980266617991,0.5315230015400771,0.5315230015400771,0.5300657364621632,0.0020608840371585
TMRWI00007D,PH063022053,2016-01-01,Y,0.6557195010664357,0.6395986775190856,0.6395986775190856,0.6234778539717355,0.022798287297286
TMRWI000081,PH063022052,2016-01-01,Y,0.6557195010664357,0.6485993456626462,0.6485993456626462,0.6414791902588567,0.0100694203382432
TMRWI000085,PH063022057,2016-01-01,Y,0.6193302446239861,0.5912953346473111,0.6078926787515475,0.5300657364621632,0.0412807041837165
TMRWI00008A,PH063022064,2016-01-01,Y,0.6848234664805618,0.6498821742489168,0.650839269850281,0.628669714098303,0.0185714679707136
