uuid,adm4_pcode,date,freq,google_bldgs_count,google_bldgs_area_total,google_bldgs_area_mean,google_bldgs_count_lt100_sqm,google_bldgs_count_100_200_sqm,google_bldgs_count_gt_200_sqm,google_bldgs_density,google_bldgs_pct_built_up_area
GOBLG000269,PH063022113,2023-01-01,Y,179.0,26736.4695,149.36575139664805,125.0,23.0,31.0,0.002046774116458,30.57179538439689
GOBLG00026A,PH063022191,2023-01-01,Y,382.0,23721.5376,62.09826596858639,326.0,51.0,5.0,0.0057214247054388,35.52905530775826
GOBLG00026B,PH063022047,2023-01-01,Y,1526.0,98919.6999,64.82287018348624,1241.0,244.0,41.0,0.0060314533645206,39.09761184660751
GOBLG00026C,PH063022136,2023-01-01,Y,148.0,9462.5923,63.93643445945946,131.0,9.0,8.0,0.0104862882657228,67.04558824243882
GOBLG00026D,PH063022096,2023-01-01,Y,1128.0,102499.2765,90.86815292553192,750.0,283.0,95.0,0.0049289689927931,44.788630820232974
GOBLG00026E,PH063022089,2023-01-01,Y,157.0,34245.149900000004,218.1219738853504,121.0,15.0,21.0,0.0013417808852907,29.267189522124863
GOBLG00026F,PH063022100,2023-01-01,Y,313.0,31773.3124,101.51218019169328,227.0,49.0,37.0,0.0070750524421241,71.82039983705877
GOBLG000270,PH063022090,2023-01-01,Y,175.0,36028.9142,205.8795097142857,76.0,38.0,61.0,0.0035718366406023,73.53679763467365
GOBLG000271,PH063022003,2023-01-01,Y,470.0,37074.0798,78.88102085106382,391.0,57.0,22.0,0.0072006737884184,56.79964992459444
GOBLG000272,PH063022195,2023-01-01,Y,672.0,74461.8337,110.80630014880953,488.0,109.0,75.0,0.0043600373163471,48.3119603535171
GOBLG000273,PH063022104,2023-01-01,Y,310.0,20039.9607,64.64503451612903,253.0,49.0,8.0,0.0126135240952044,81.54017005045166
GOBLG000274,PH063022051,2023-01-01,Y,1268.0,99425.9107,78.41160149842271,991.0,208.0,69.0,0.002382612030109,18.682442503025847
GOBLG000275,PH063022065,2023-01-01,Y,730.0,56191.6437,76.97485438356165,591.0,82.0,57.0,0.0055832849794141,42.97725482723308
GOBLG000276,PH063022128,2023-01-01,Y,869.0,66365.8206,76.3703344073648,636.0,177.0,56.0,0.0043523741389064,33.23922684542495
GOBLG000277,PH063022076,2023-01-01,Y,221.0,28068.9524,127.00883438914026,104.0,67.0,50.0,0.0075125863583189,95.41648366178477
GOBLG000278,PH063022056,2023-01-01,Y,361.0,36261.8788,100.44841772853184,233.0,84.0,44.0,0.0063718179393583,64.00390300628167
GOBLG000279,PH063022019,2023-01-01,Y,2191.0,152864.283,69.76918439068918,1785.0,297.0,109.0,0.0013630224008246,9.509696121177637
GOBLG00027A,PH063022129,2023-01-01,Y,342.0,35642.409400000004,104.21757134502926,276.0,47.0,19.0,0.0051723436068991,53.904908887301296
GOBLG00027B,PH063022173,2023-01-01,Y,655.0,38364.0792,58.571113282442745,579.0,49.0,27.0,0.002453115742193,14.368172003093212
GOBLG00027C,PH063022087,2023-01-01,Y,1056.0,85709.4168,81.16422045454546,926.0,79.0,51.0,0.0030580243000588,24.82021584453312
GOBLG00027D,PH063022101,2023-01-01,Y,537.0,73775.2867,137.38414655493483,334.0,147.0,56.0,0.005131543866696,70.4992774635248
GOBLG00027E,PH063022086,2023-01-01,Y,2278.0,102747.6636,45.10432993854258,2125.0,110.0,43.0,0.000928231152434,4.186724415861949
GOBLG00027F,PH063022050,2023-01-01,Y,474.0,57698.6774,121.72716751054853,317.0,100.0,57.0,0.0022423103569873,27.29500884356317
GOBLG0002EE,PH063022200,2023-01-01,Y,80.0,14724.5469,184.05683625,41.0,18.0,21.0,0.0026269816058198,48.35139232541403
GOBLG0002EF,PH063022135,2023-01-01,Y,2464.0,217889.7886,88.42929732142858,1845.0,434.0,185.0,0.0030156905775501,26.66753987116128
GOBLG0002F0,PH063022017,2023-01-01,Y,636.0,69791.9922,109.73583679245282,516.0,75.0,45.0,0.0024978173928363,27.41000817576395
GOBLG0002F1,PH063022120,2023-01-01,Y,2209.0,149055.7066,67.47655346310547,1813.0,300.0,96.0,0.0043644540936763,29.44983199892193
GOBLG0002F2,PH063022007,2023-01-01,Y,78.0,27910.4192,357.8258871794872,21.0,8.0,49.0,0.0010082692402618,36.07848354124841
GOBLG0002F3,PH063022192,2023-01-01,Y,686.0,53916.4209,78.59536574344023,584.0,62.0,40.0,0.0065135589824194,51.193555051472416
GOBLG0002F4,PH063022049,2023-01-01,Y,1753.0,124354.7747,70.93826280661722,1321.0,371.0,61.0,0.0018392922817456,13.047619926065863
GOBLG0002F5,PH063022031,2023-01-01,Y,2397.0,98752.4625,41.19835732165206,2288.0,85.0,24.0,0.0073578285530943,30.31304498418368
GOBLG0002F6,PH063022107,2023-01-01,Y,282.0,49773.6792,176.5024085106383,185.0,34.0,63.0,0.004722246361353,83.34878563594167
GOBLG0002F7,PH063022044,2023-01-01,Y,425.0,38371.4145,90.2856811764706,326.0,54.0,45.0,0.0058793595228236,53.0821979399504
GOBLG0002F8,PH063022067,2023-01-01,Y,2309.0,183261.318,79.36826245127762,1674.0,526.0,109.0,0.0010673272685615,8.471191077260217
GOBLG0002F9,PH063022072,2023-01-01,Y,1721.0,219457.9591,127.51769848925044,1484.0,116.0,121.0,0.0006068454369471,7.73835334581995
GOBLG0002FA,PH063022070,2023-01-01,Y,176.0,31520.9197,179.0961346590909,94.0,42.0,40.0,0.0011985132161926,21.464908435794257
GOBLG0002FB,PH063022198,2023-01-01,Y,289.0,52259.3672,180.8282602076125,179.0,69.0,41.0,0.0026302769764605,47.56284095174954
GOBLG0002FC,PH063022133,2023-01-01,Y,359.0,38983.9486,108.5903860724234,305.0,40.0,14.0,0.006885847789222,74.77368698675646
GOBLG0002FD,PH063022103,2023-01-01,Y,562.0,95420.2588,169.78693736654805,375.0,90.0,97.0,0.0018744103207734,31.8250387732378
GOBLG0002FE,PH063022004,2023-01-01,Y,1686.0,122747.9791,72.80425806642941,1366.0,224.0,96.0,0.0016642088813095,12.116149287130265
GOBLG0002FF,PH063022036,2023-01-01,Y,1120.0,66455.109,59.33491875,935.0,158.0,27.0,0.0050231777017978,29.80498408029857
GOBLG000300,PH063022163,2023-01-01,Y,420.0,55024.0426,131.00962523809525,280.0,86.0,54.0,0.0032534749793396,42.62365377648084
GOBLG000301,PH063022009,2023-01-01,Y,1697.0,101337.8488,59.715880259281086,1467.0,209.0,21.0,0.0069008396136358,41.20897120563836
GOBLG000302,PH063022166,2023-01-01,Y,1043.0,81834.2805,78.4604798657718,788.0,188.0,67.0,0.0025545087097012,20.04279791844532
GOBLG000303,PH063022151,2023-01-01,Y,3380.0,238422.3837,70.53916677514793,2796.0,384.0,200.0,0.0022396552982741,15.798341860380171
GOBLG000304,PH063022046,2023-01-01,Y,453.0,50214.7973,110.8494421633554,292.0,98.0,63.0,0.0050514881382162,55.995464221608174
GOBLG000305,PH063022061,2023-01-01,Y,572.0,45823.4469,80.11092115384616,470.0,55.0,47.0,0.0062889179855146,50.38110128805716
GOBLG000306,PH063022146,2023-01-01,Y,294.0,71609.6523,243.57024591836736,94.0,77.0,123.0,0.0021780276477615,53.05027297822884
GOBLG000307,PH063022185,2023-01-01,Y,207.0,10046.8672,48.535590338164255,189.0,18.0,0.0,0.0114075512891195,55.3672236130305
GOBLG000308,PH063022202,2023-01-01,Y,517.0,36698.1346,70.98285222437137,420.0,68.0,29.0,0.0066382488191706,47.1201834959801
GOBLG000309,PH063022088,2023-01-01,Y,420.0,60687.5137,144.49408023809522,318.0,62.0,40.0,0.0034036310161768,49.18045331523291
GOBLG00030A,PH063022057,2023-01-01,Y,64.0,23125.1488,361.33045,39.0,3.0,22.0,0.0016703279881469,60.3540363604728
GOBLG00030B,PH063022075,2023-01-01,Y,95.0,10360.6269,109.0592305263158,62.0,18.0,15.0,0.0040417048110253,44.07852167049374
