uuid,adm4_pcode,date,freq,osm_wetland_nearest,osm_reservoir_nearest,osm_water_nearest,osm_riverbank_nearest,osm_dock_nearest,osm_river_nearest,osm_stream_nearest,osm_canal_nearest,osm_drain_nearest
OSMWB000660,PH063022120,2018-01-01,Y,1446.7280634516785,10000.0,210.6658440696001,1028.2971424896632,8113.503195582964,610.2399771333635,1388.6430770659354,1880.4500801784536,10000.0
OSMWB000661,PH063022007,2018-01-01,Y,1086.850938420912,10000.0,106.4892103930222,0.0,3629.767995915105,14.412599214824326,995.7838998242426,2026.781945615024,9501.671802420116
OSMWB000662,PH063022192,2018-01-01,Y,445.6773370085139,10000.0,278.2280070733004,302.68971282831,5445.058002304042,576.7540346848181,2801.967895230688,1154.7785077831657,10000.0
OSMWB000663,PH063022049,2018-01-01,Y,2581.2363729120902,10000.0,1039.690137861463,2152.4556987317574,8570.990374388864,348.51788916593574,0.0,2321.28789374915,8256.978360961139
OSMWB000664,PH063022031,2018-01-01,Y,11.494563786477546,10000.0,598.0107806815923,0.0,7491.017198651841,1075.1238017821424,3795.4510277660247,3739.895466690216,10000.0
OSMWB000665,PH063022107,2018-01-01,Y,1350.0924125126585,10000.0,355.4681354790842,150.3487078711016,3614.945364792032,230.7869179371761,1239.0811488374009,2218.8424826138657,9873.594074061595
OSMWB000666,PH063022044,2018-01-01,Y,2475.429109121746,10000.0,1600.6784560218628,1267.903983885355,7324.262118016638,5.26536362777653,1081.598300760241,1849.575788320436,7390.988637157544
OSMWB000667,PH063022067,2018-01-01,Y,3051.2572005935995,9604.37266394554,144.25353222073235,1651.9664611281576,9623.124886898024,0.0,80.47731439290811,3038.567425068798,7756.010843845509
OSMWB000668,PH063022072,2018-01-01,Y,0.0,10000.0,0.0,0.0,3674.612186886397,0.0,0.0,3143.238519796841,4310.706394805319
OSMWB000669,PH063022070,2018-01-01,Y,0.0,10000.0,261.9358986512947,0.0,5042.76435215534,0.0,1972.223455378524,546.0159837916608,9597.0178922984
OSMWB00066A,PH063022198,2018-01-01,Y,0.0,10000.0,466.91992368583067,0.0,4897.638205808069,1.3476249572764454,1294.7739514351535,929.3590973948136,8583.27964472362
OSMWB00066B,PH063022133,2018-01-01,Y,643.3729232391415,10000.0,415.00375079537866,127.08297394316617,4076.054636366872,199.49905188522075,603.6475239004652,1863.328244887664,8631.863845544744
OSMWB00066C,PH063022103,2018-01-01,Y,517.4114147552256,10000.0,0.0,0.0,5532.216830621588,0.0,1695.078093860952,372.7061125157307,8242.725445320137
OSMWB00066D,PH063022004,2018-01-01,Y,284.6925447674896,10000.0,0.0,0.0,7163.6640251071285,97.08874196054524,1275.6361757857353,1137.0926041925445,9538.551310627832
OSMWB00066E,PH063022036,2018-01-01,Y,4.354046380829126,10000.0,75.52339533294739,0.0,6431.4790521513605,924.854045547558,3991.791588040304,2175.710396644616,10000.0
OSMWB00066F,PH063022163,2018-01-01,Y,1587.9367016877648,10000.0,668.3984074614832,267.43842041036004,6600.801457051322,0.0,1322.9780835267943,859.8547243212927,7950.928975507577
OSMWB000670,PH063022009,2018-01-01,Y,1518.4233461610238,10000.0,611.9047561271517,181.7211105496961,6613.645357822914,0.0,1124.7095498738547,674.5410890095162,8205.215247135964
OSMWB000671,PH063022166,2018-01-01,Y,1124.203658769046,10000.0,0.0,141.3421069483846,9904.169915881856,0.0,1090.097839955796,5134.317759563831,10000.0
