uuid,adm4_pcode,date,freq,brgy_healthcenter_pop_reached_5min,brgy_healthcenter_pop_reached_15min,brgy_healthcenter_pop_reached_30min,brgy_healthcenter_pop_reached_pct_5min,brgy_healthcenter_pop_reached_pct_15min,brgy_healthcenter_pop_reached_pct_30min,hospital_pop_reached_5min,hospital_pop_reached_15min,hospital_pop_reached_30min,hospital_pop_reached_pct_5min,hospital_pop_reached_pct_15min,hospital_pop_reached_pct_30min,rhu_pop_reached_5min,rhu_pop_reached_15min,rhu_pop_reached_30min,rhu_pop_reached_pct_5min,rhu_pop_reached_pct_15min,rhu_pop_reached_pct_30min
MBISO0000FA,PH063022148,2022-01-01,S,1143.16,1143.16,1143.16,98.51,98.51,98.51,1143.16,1143.16,1143.16,98.51,98.51,98.51,0.0,1143.16,1143.16,0.0,98.51,98.51
MBISO0000FB,PH063022149,2022-01-01,S,2228.88,2228.88,2228.88,100.0,100.0,100.0,2228.88,2228.88,2228.88,100.0,100.0,100.0,2228.88,2228.88,2228.88,100.0,100.0,100.0
MBISO0000FC,PH063022150,2022-01-01,S,371.32,371.32,371.32,100.0,100.0,100.0,371.32,371.32,371.32,100.0,100.0,100.0,359.26,371.32,371.32,96.75,100.0,100.0
MBISO0000FD,PH063022151,2022-01-01,S,5993.39,6244.61,6244.61,93.57,97.5,97.5,0.0,6038.93,6244.61,0.0,94.28,97.5,729.11,6244.61,6244.61,11.38,97.5,97.5
MBISO0000FE,PH063022152,2022-01-01,S,1366.77,1366.77,1366.77,100.0,100.0,100.0,0.0,1366.77,1366.77,0.0,100.0,100.0,0.0,1366.77,1366.77,0.0,100.0,100.0
MBISO0000FF,PH063022154,2022-01-01,S,488.08,488.08,488.08,84.0,84.0,84.0,488.08,488.08,488.08,84.0,84.0,84.0,488.08,488.08,488.08,84.0,84.0,84.0
MBISO000100,PH063022155,2022-01-01,S,2096.53,2309.89,2309.89,80.76,88.98,88.98,0.0,2309.89,2309.89,0.0,88.98,88.98,2309.89,2309.89,2309.89,88.98,88.98,88.98
MBISO000101,PH063022156,2022-01-01,S,7158.04,7158.04,7158.04,100.0,100.0,100.0,874.77,7158.04,7158.04,12.22,100.0,100.0,5041.81,7158.04,7158.04,70.44,100.0,100.0
MBISO000102,PH063022157,2022-01-01,S,1318.65,1318.65,1318.65,100.0,100.0,100.0,1318.65,1318.65,1318.65,100.0,100.0,100.0,1318.65,1318.65,1318.65,100.0,100.0,100.0
MBISO000103,PH063022158,2022-01-01,S,1765.12,1765.12,1765.12,84.61,84.61,84.61,1765.12,1765.12,1765.12,84.61,84.61,84.61,1765.12,1765.12,1765.12,84.61,84.61,84.61
MBISO000104,PH063022159,2022-01-01,S,1017.56,1017.56,1017.56,100.0,100.0,100.0,1017.56,1017.56,1017.56,100.0,100.0,100.0,1017.56,1017.56,1017.56,100.0,100.0,100.0
