uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PNHZD00015A,PH063022035,2015-01-01,S,36.8069,36.9953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00015B,PH063022029,2015-01-01,S,3.0146,9.7126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00015C,PH063022194,2015-01-01,S,23.8791,21.4584,8.1122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00015D,PH063022144,2015-01-01,S,33.0669,23.707,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00015E,PH063022095,2015-01-01,S,26.5183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00015F,PH063022164,2015-01-01,S,48.119,15.0677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857,0.001,0.047
PNHZD000160,PH063022158,2015-01-01,S,11.1391,31.0415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000161,PH063022197,2015-01-01,S,19.6122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000162,PH063022114,2015-01-01,S,23.4738,17.8618,16.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000163,PH063022183,2015-01-01,S,15.3738,7.729,0.9358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000164,PH063022099,2015-01-01,S,11.1885,1.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000165,PH063022077,2015-01-01,S,2.6962,4.1096,2.2229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000166,PH063022123,2015-01-01,S,21.2215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000167,PH063022150,2015-01-01,S,2.2906,0.8211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000168,PH063022122,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000169,PH063022038,2015-01-01,S,17.7836,11.3369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00016A,PH063022196,2015-01-01,S,9.3894,0.4496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00016B,PH063022167,2015-01-01,S,1.7585,17.3055,2.5105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00016C,PH063022182,2015-01-01,S,93.29,5.3878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00016D,PH063022034,2015-01-01,S,75.7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00016E,PH063022074,2015-01-01,S,55.2678,28.6991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00016F,PH063022014,2015-01-01,S,52.3844,1.8292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000170,PH063022030,2015-01-01,S,26.2991,5.5013,0.1518,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.3757,0.1409
PNHZD000171,PH063022024,2015-01-01,S,5.4607,50.2752,40.8399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784
PNHZD000172,PH063022199,2015-01-01,S,45.7552,20.5581,2.0465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000173,PH063022175,2015-01-01,S,11.4076,40.1691,24.2363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000174,PH063022119,2015-01-01,S,17.5687,23.7319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000175,PH063022112,2015-01-01,S,18.5192,2.5841,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000176,PH063022048,2015-01-01,S,9.2097,38.3432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000177,PH063022018,2015-01-01,S,2.1085,3.7556,2.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000178,PH063022068,2015-01-01,S,6.6656,33.188,51.3267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035
PNHZD000179,PH063022108,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00017A,PH063022125,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00017B,PH063022174,2015-01-01,S,18.1373,15.2473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00017C,PH063022105,2015-01-01,S,21.4077,23.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00017D,PH063022098,2015-01-01,S,12.6778,71.365,15.9572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00017E,PH063022053,2015-01-01,S,19.7906,21.2979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00017F,PH063022010,2015-01-01,S,14.0214,62.6562,17.6983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251
PNHZD000180,PH063022116,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000181,PH063022079,2015-01-01,S,26.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000182,PH063022055,2015-01-01,S,75.8393,10.9515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000183,PH063022042,2015-01-01,S,0.5028,14.1864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000184,PH063022127,2015-01-01,S,22.3137,10.0501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000185,PH063022187,2015-01-01,S,27.1751,34.1941,3.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000186,PH063022063,2015-01-01,S,1.1334,3.8093,0.1738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000187,PH063022148,2015-01-01,S,37.2264,21.6728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000188,PH063022155,2015-01-01,S,4.081,45.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000189,PH063022165,2015-01-01,S,22.1638,62.9512,0.7349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00018A,PH063022032,2015-01-01,S,13.7388,12.6558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00018B,PH063022012,2015-01-01,S,3.915,5.6802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00018C,PH063022131,2015-01-01,S,3.3435,38.2817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00018D,PH063022102,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00018E,PH063022172,2015-01-01,S,6.1954,9.6849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00018F,PH063022008,2015-01-01,S,0.8142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000190,PH063022078,2015-01-01,S,65.073,0.8914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000191,PH063022193,2015-01-01,S,1.7456,11.2823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000192,PH063022006,2015-01-01,S,2.6118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000193,PH063022016,2015-01-01,S,15.0465,71.4732,6.9665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000194,PH063022026,2015-01-01,S,26.383,14.5256,4.2828,20.9134,10.9906,3.3432,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000195,PH063022028,2015-01-01,S,25.6413,0.8786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000196,PH063022140,2015-01-01,S,17.5584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
