uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,death_total
DPSAT001970,W,2006-06-26,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT001971,W,2006-06-26,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,1
DPSAT001972,W,2006-06-26,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,1
DPSAT001973,W,2006-06-26,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,4
DPSAT001974,W,2006-06-26,PSA,City-weekly_2006_deaths,PH063022000,J45,ASTHMA,1
DPSAT001975,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,A00,CHOLERA,0
DPSAT001976,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,0
DPSAT001977,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,1
DPSAT001978,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,1
DPSAT001979,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,B15,HEPATITIS A,0
DPSAT00197A,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT00197B,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,2
DPSAT00197C,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,I20-I25,ANGINA,0
DPSAT00197D,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,5
DPSAT00197E,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,J45,ASTHMA,1
DPSAT00197F,W,2006-07-03,PSA,City-weekly_2006_deaths,PH063022000,T67,HEAT STROKE,0
DPSAT001980,W,2006-07-10,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT001981,W,2006-07-10,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,1
